address,categories/0,categories/1,categoryName,city,countryCode,language,likesCount,location/lat,location/lng,name,neighborhood,originalLanguage,permanentlyClosed,placeId,postalCode,price,publishAt,publishedAtDate,rating,responseFromOwnerDate,responseFromOwnerText,reviewContext/Meal type,reviewContext/Noise level,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewContext/Wait time,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewOrigin,reviewsCount,scrapedAt,searchString,stars,state,street,temporarilyClosed,text,textTranslated,title,totalScore,translatedLanguage,visitedIn,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,reviewContext/Reservation,categories/9
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Transport,,,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,4 weeks ago,2025-03-31T18:17:38.563Z,,,,,,,,,,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,,,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Renata Sakowicz,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,4 weeks ago,2025-03-31T14:05:05.316Z,,,,Lunch,,,£20–30,,Dine in,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,Amazing place. Friendly stuff that made us feel like home.  Food fresh and delicious. Definitely will be back,,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Aldo Cervantes Flores,,es,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,4 weeks ago,2025-03-31T14:00:30.575Z,,,,Brunch,,,£100+,,Dine in,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,La comida estuvo súper deliciosa el servicio fue muy bueno lo recomiendo 100%,"The food was super delicious, the service was very good, I recommend it 100%",La Casita,4.6,en,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,jose manuel vargas rodrigues,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,4 weeks ago,2025-03-30T20:54:25.088Z,,,,,,,,,,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,"Excellent and friendly  service, food super tasty, you can’t go wrong when dinning here",,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,DAVID WARREN,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,a month ago,2025-03-29T21:18:23.423Z,,,,Dinner,,,£40–50,,Dine in,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,Very nice place to eat and relax,,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Liberty Jordan,,,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,a month ago,2025-03-29T16:29:49.774Z,,,,,,,,,,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,,,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Neto Bala,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,a month ago,2025-03-29T16:24:57.710Z,,,,,,,,,,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,Everything perfect !,,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Thomas McKiernan,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,a month ago,2025-03-24T20:44:30.897Z,,,,Brunch,,,,,Dine in,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,I was in the area and I popped in. Really glad I did. I had a steak sandwich which was delicious. Service was excellent. The place has a lovely relaxed vibe - people enjoying slow coffees etc. I saw some guys ordering cooked breakfasts that also looked really good. Price was very reasonable. If I lived in the area I would come here regularly.,,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Aretha Graham,,,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,a month ago,2025-03-24T15:17:48.546Z,,,,Lunch,,Somewhat difficult to find parking,£10–20,,Dine in,,5,4,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,,,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Tallulah Farenstien,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,a month ago,2025-03-12T20:37:28.314Z,,,,Dinner,,,£50–60,,Dine in,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,"Sandra was lovely, really nice place and food. Good portions as well. Will definitely be back!",,La Casita,4.6,,,,,,,,,,,
